Nome,Símbolo,Número Atômico,Massa Atômica (u),Família/Grupo,Período,Estado Físico (CNTP),Eletronegatividade (Pauling),Configuração Eletrônica
Hidrogênio,H,1,1.008,1,1,Gas,2.20,"1s¹"
Hélio,He,2,4.003,18,1,Gas,-,"1s²"
Lítio,Li,3,6.941,1,2,Sólido,0.98,"[He] 2s¹"
Berílio,Be,4,9.012,2,2,Sólido,1.57,"[He] 2s²"
Boro,B,5,10.81,13,2,Sólido,2.04,"[He] 2s² 2p¹"
Carbono,C,6,12.01,14,2,Sólido,2.55,"[He] 2s² 2p²"
Nitrogênio,N,7,14.01,15,2,Gas,3.04,"[He] 2s² 2p³"
Oxigênio,O,8,16.00,16,2,Gas,3.44,"[He] 2s² 2p⁴"
Flúor,F,9,19.00,17,2,Gas,3.98,"[He] 2s² 2p⁵"
Neônio,Ne,10,20.18,18,2,Gas,-,"[He] 2s² 2p⁶"
Sódio,Na,11,22.99,1,3,Sólido,0.93,"[Ne] 3s¹"
Magnésio,Mg,12,24.31,2,3,Sólido,1.31,"[Ne] 3s²"
Alumínio,Al,13,26.98,13,3,Sólido,1.61,"[Ne] 3s² 3p¹"
Silício,Si,14,28.09,14,3,Sólido,1.90,"[Ne] 3s² 3p²"
Fósforo,P,15,30.97,15,3,Sólido,2.19,"[Ne] 3s² 3p³"
Enxofre,S,16,32.07,16,3,Sólido,2.58,"[Ne] 3s² 3p⁴"
Cloro,Cl,17,35.45,17,3,Gas,3.16,"[Ne] 3s² 3p⁵"
Argônio,Ar,18,39.95,18,3,Gas,-,"[Ne] 3s² 3p⁶"
Potássio,K,19,39.10,1,4,Sólido,0.82,"[Ar] 4s¹"
Cálcio,Ca,20,40.08,2,4,Sólido,1.00,"[Ar] 4s²"
Escândio,Sc,21,44.96,3,4,Sólido,1.36,"[Ar] 3d¹ 4s²"
Titânio,Ti,22,47.87,4,4,Sólido,1.54,"[Ar] 3d² 4s²"
Vanádio,V,23,50.94,5,4,Sólido,1.63,"[Ar] 3d³ 4s²"
Cromo,Cr,24,52.00,6,4,Sólido,1.66,"[Ar] 3d⁵ 4s¹"
Manganês,Mn,25,54.94,7,4,Sólido,1.55,"[Ar] 3d⁵ 4s²"
Ferro,Fe,26,55.85,8,4,Sólido,1.83,"[Ar] 3d⁶ 4s²"
Cobalto,Co,27,58.93,9,4,Sólido,1.88,"[Ar] 3d⁷ 4s²"
